0,0,1,3,2,1,sea
4,0,1,4,1,1,sea
8,0,1,4,1,1,sea
13,0,1,3,2,1,sea
0,1,1,4,1,1,WA
4,1,1,4,1,1,WA
8,1,1,4,1,1,WA
12,1,1,4,1,1,WA
3,0,1,1,1,1,sea
3,2,1,1,1,1,SA
4,2,1,2,1,1,SA
6,2,1,2,1,1,VIC
8,2,1,1,1,1,VIC
9,2,1,3,1,1,TAS
12,2,1,1,1,1,TAS
3,0,1,1,1,1,sea
12,0,1,1,1,1,sea
0,3,1,3,3,1,sea
3,3,1,1,1,1,SA
4,3,1,2,1,1,SA
6,3,1,2,1,1,VIC
8,3,1,1,1,1,VIC
9,3,1,3,1,1,TAS
12,3,1,1,1,1,TAS
13,3,1,3,3,1,sea
3,4,1,1,1,1,sea
4,4,1,4,2,1,sea
8,4,1,4,2,1,sea
3,4,1,1,1,1,sea
12,4,1,1,1,1,sea
3,5,1,1,1,1,sea
3,5,1,1,1,1,sea
12,5,1,1,1,1,sea
